split_id,SQID
42,1
43,1
52,1
58,1
65,1
72,1
80,1
87,1
94,1
102,1
108,1
116,1
123,1
130,1
137,1
145,1
153,1
160,1
167,1
174,1
182,1
191,1
200,1
207,1
214,1
222,1
229,1
237,1
245,1
252,1
259,1
266,1
274,1
283,1
290,1
297,1
304,1
312,1
320,1
327,1
334,1
342,1
350,1
357,1
366,1
374,1
381,1
387,1
395,1
403,1
410,1
416,1
423,1
432,1
440,1
449,1
456,1
463,1
470,1
478,1
486,1
493,1
500,1
507,1
515,1
523,1
532,1
539,1
546,1
553,1
560,1
568,1
576,1
582,1
590,1
597,1
604,1
614,1
621,1
627,1
635,1
642,1
650,1
657,1
664,1
671,1
678,1
686,1
695,1
703,1
711,1
718,1
726,1
733,1
742,1
749,1
756,1
764,1
770,1
779,1
787,1
795,1
803,1
810,1
818,1
826,1
834,1
842,1
849,1
856,1
864,1
872,1
879,1
884,1
892,1
899,1
906,1
914,1
921,1
929,1
936,1
944,1
952,1
959,1
967,1
974,1
982,1
989,1
996,1
1004,1
1012,1
1019,1
1027,1
1034,1
1041,1
1049,1
1057,1
1065,1
1072,1
1079,1
1087,1
1095,1
1102,1
1110,1
1117,1
1125,1
1132,1
1141,1
1148,1
1155,1
1162,1
1169,1
1178,1
1183,1
1192,2
1200,2
1207,2
1215,2
1222,2
1229,2
1237,1
1245,1
1252,1
1261,1
1268,1
1275,1
1282,1
1290,1
1298,1
1305,1
1312,1
1321,2
1327,2
1335,2
1344,2
1351,2
1357,2
1366,1
1374,1
1382,1
1390,1
1396,1
1403,1
1411,1
1418,1
1426,1
1433,1
1440,1
1449,2
1457,2
1464,2
1472,2
1480,2
1487,2
1495,1
1502,1
1510,1
1518,1
1525,1
1532,1
1540,1
1548,1
1556,1
1562,1
1570,1
1579,2
1589,2
1596,2
1603,2
1611,2
1619,2
1628,1
1636,1
1643,1
1650,1
1657,1
1664,1
1671,1
1678,1
1685,1
1691,1
1698,1
1706,2
1714,2
1722,2
1728,2
1735,2
1743,2
1752,1
1759,1
1768,1
1775,1
1782,1
1789,1
1796,1
1803,1
1809,1
1816,1
1824,1
1832,2
1839,2
1846,2
1854,2
1861,2
1869,2
1878,1
1885,1
1892,1
1900,1
1907,1
1915,1
1922,1
1929,1
1936,1
1944,1
1953,1
1960,2
1968,2
1975,2
1983,2
1990,2
1999,2
2008,1
2013,1
2020,1
2028,1
2035,1
2044,1
2050,1
2058,1
2065,1
2073,1
2080,1
2088,2
2095,2
2103,2
2110,2
2118,2
2127,2
2136,1
2143,1
2149,1
2157,1
2165,1
2173,1
2179,1
2186,1
2194,1
2202,1
2209,1
2218,2
2225,2
2233,2
2241,2
2249,2
2256,2
2266,1
2273,1
2280,1
2286,1
2294,1
2301,1
2308,1
2315,1
2322,1
2330,1
2337,1
2345,2
2352,2
2360,2
2368,2
2375,2
2382,2
2391,3
2399,3
2407,1
2416,2
2427,2
2433,2
2441,2
2449,2
2456,2
2465,3
2472,3
2481,2
2489,2
2497,2
2505,2
2513,2
2520,2
2528,3
2534,3
2543,2
2551,2
2558,2
2567,2
2575,2
2582,2
2591,3
2598,3
2606,2
2614,2
2621,2
2628,2
2635,2
2643,2
2652,3
2659,3
2667,2
2675,2
2683,2
2691,2
2699,2
2706,2
2714,3
2721,3
2730,2
2737,2
2744,2
2753,2
2759,2
2767,2
2776,3
2784,3
2792,2
2800,2
2808,2
2815,2
2822,2
2829,2
2837,3
2845,3
2854,2
2861,2
2867,2
2874,2
2882,2
2891,2
2899,3
2906,3
2910,2
2911,2
2912,2
2913,2
2922,2
2928,2
2932,3
2933,3
2934,2
2935,2
2936,2
2937,2
2938,2
2939,2
2940,3
2941,3
2950,2
2956,2
2963,2
2970,2
2978,2
2979,2
2980,3
2981,3
2982,2
2983,2
2984,2
2985,2
2986,2
2995,2
2996,3
2997,3
2998,2
2999,2
3000,2
3009,2
3010,2
3011,2
3012,3
3013,3
3022,2
3028,2
3032,2
3033,2
3034,2
3035,2
3044,3
3050,3
3054,2
3063,2
3064,2
3073,2
3074,2
3075,2
3076,3
3077,3
3083,2
3087,2
3094,2
3097,2
3098,2
3099,2
3100,3
3109,3
3110,2
3111,2
3112,2
3113,2
3114,2
3115,2
3124,3
3125,3
3126,4
3135,4
3136,4
3137,4
3138,4
3139,4
3140,4
3141,4
3142,4
3143,4
3144,2
3145,2
3146,2
3155,2
3161,2
3165,2
3174,3
3175,3
3176,4
3177,4
3178,4
3179,4
3180,4
3181,4
3190,4
3191,4
3192,4
3193,4
3200,4
3203,2
3204,2
3205,2
3206,2
3207,2
3208,2
3209,3
3210,3
3219,4
3220,4
3221,4
3222,4
3223,4
3224,4
3233,4
3234,4
3235,4
3236,4
3237,4
3238,2
3239,2
3240,2
3249,2
3250,2
3251,2
3252,3
3253,3
3262,4
3263,4
3264,4
3265,4
3266,4
3267,4
